Date,Close
2019-06-18,196.73
2019-06-19,197.4
2019-06-20,198.17
2019-06-21,198.56
2019-06-24,198.17
2019-06-25,188.95
2019-06-26,192.41
2019-06-27,203.74
2019-06-28,203.55
2019-07-01,276.36
2019-07-02,265.22
2019-07-03,246.87
2019-07-05,232.56
2019-07-06,188.18
2019-07-08,198.56
2019-07-10,190.44
2019-07-11,214.21
2019-07-15,209.03
2019-07-16,210.18
2019-07-17,211.04
2019-07-18,207.59
2019-07-19,212.87
2019-07-22,214.79
2019-07-23,217.0
2019-07-24,215.17
2019-07-25,200.19
2019-07-26,199.9
2019-07-29,200.77
2019-07-30,200.48
2019-07-31,201.44
2019-08-01,275.31
2019-08-02,260.61
2019-08-03,244.66
2019-08-04,239.19
2019-08-05,232.37
2019-08-07,202.3
2019-08-08,202.59
2019-08-10,188.85
2019-08-11,211.04
2019-08-13,197.31
2019-08-14,187.22
2019-08-15,180.98
2019-08-16,185.16
2019-08-19,191.93
2019-08-20,182.18
2019-08-21,183.57
2019-08-22,190.92
2019-08-23,193.08
2019-08-27,198.75
2019-08-28,195.87
2019-08-29,199.8
2019-08-30,197.98
2019-09-01,274.64
2019-09-04,239.38
2019-09-05,232.37
2019-09-07,203.17
2019-09-08,200.77
2019-09-09,213.54
2019-09-10,189.77
2019-09-12,212.96
2019-09-13,218.73
2019-09-16,219.69
2019-09-17,217.48
2019-09-18,208.83
2019-09-19,214.5
2019-09-20,216.42
2019-09-23,211.33
2019-09-24,203.36
2019-09-25,204.51
2019-09-26,202.49
2019-09-27,204.61
2019-09-30,203.36
2019-10-01,271.95
2019-10-04,243.32
2019-10-05,234.19
2019-10-06,194.23
2019-10-07,201.82
2019-10-09,220.17
2019-10-10,194.23
2019-10-12,218.44
2019-10-14,204.42
2019-10-15,207.87
2019-10-16,208.16
2019-10-17,210.56
2019-10-18,211.33
2019-10-21,217.1
2019-10-22,210.66
2019-10-23,213.25
2019-10-24,211.04
2019-10-25,208.35
2019-10-28,213.45
2019-10-29,203.17
2019-10-30,202.59
2019-10-31,203.26
2019-11-01,270.98
2019-11-02,264.07
2019-11-03,245.24
2019-11-04,254.85
2019-11-06,191.69
2019-11-07,204.8
2019-11-09,219.98
2019-11-10,209.51
2019-11-11,215.27
2019-11-12,219.59
2019-11-13,221.71
2019-11-14,217.1
2019-11-15,222.96
2019-11-18,221.13
2019-11-19,223.34
2019-11-20,222.19
2019-11-21,190.63
2019-11-22,192.02
2019-11-25,194.81
2019-11-26,199.04
2019-11-27,203.74
2019-11-28,209.12
2019-11-29,200.28
2019-12-02,261.09
2019-12-03,238.42
2019-12-04,251.68
2019-12-06,188.85
2019-12-07,209.41
2019-12-08,196.73
2019-12-09,216.71
2019-12-11,218.73
2019-12-12,223.05
2019-12-13,227.18
2019-12-16,240.63
2019-12-17,232.95
2019-12-18,228.62
2019-12-19,225.84
2019-12-20,228.72
2019-12-23,224.97
2019-12-24,224.11
2019-12-27,224.97
2019-12-30,221.32
2019-12-31,217.38
2020-01-04,123.34
2020-01-05,153.41
2020-01-06,170.22
2020-01-07,165.56
2020-01-09,167.91
2020-01-10,235.35
2020-01-12,311.81
2020-01-13,209.41
2020-01-14,210.08
2020-01-15,210.18
2020-01-16,205.76
2020-01-17,204.8
2020-01-20,201.63
2020-01-21,198.84
2020-01-22,200.38
2020-01-23,196.44
2020-01-24,195.1
2020-01-27,190.39
2020-01-28,194.81
2020-01-29,196.44
2020-01-30,193.75
2020-01-31,190.39
2020-02-01,222.76
2020-02-03,154.8
2020-02-04,121.8
2020-02-06,164.55
2020-02-07,165.32
2020-02-09,166.57
2020-02-10,234.19
2020-02-11,217.67
2020-02-12,309.51
2020-02-13,171.37
2020-02-14,174.11
2020-02-17,176.94
2020-02-18,172.33
2020-02-19,167.34
2020-02-20,175.31
2020-02-21,171.37
2020-02-24,165.22
2020-02-25,159.75
2020-02-26,164.17
2020-02-27,158.07
2020-02-28,156.05
2020-03-01,217.38
2020-03-02,186.69
2020-03-03,154.75
2020-03-04,119.4
2020-03-06,171.23
2020-03-07,165.27
2020-03-08,161.76
2020-03-09,164.6
2020-03-11,224.59
2020-03-12,319.11
2020-03-13,129.34
2020-03-16,137.61
2020-03-17,142.7
2020-03-18,154.46
2020-03-19,143.18
2020-03-20,144.52
2020-03-23,139.09
2020-03-24,144.95
2020-03-25,150.24
2020-03-26,155.57
2020-03-27,128.24
