,TimeShort,TimeLong,Temp
390,-0.864476386036961,-9.411764705882353,2.3
391,-0.8590006844626967,-9.411764705882353,2.4
392,-0.8535249828884326,-9.411764705882353,4.1
393,-0.8480492813141683,-9.411764705882353,1.2
394,-0.8425735797399042,-9.411764705882353,1.1
395,-0.83709787816564,-9.411764705882353,2.3
396,-0.8316221765913758,-9.411764705882353,3.7
397,-0.8261464750171116,-9.411764705882353,2.4
398,-0.8206707734428473,-9.411764705882353,1.0
399,-0.8151950718685832,-9.411764705882353,1.5
400,-0.809719370294319,-9.411764705882353,1.8
401,-0.8042436687200547,-9.411764705882353,-0.8
402,-0.7987679671457906,-9.411764705882353,-3.4
403,-0.7932922655715263,-9.411764705882353,-2.3
404,-0.7878165639972622,-9.411764705882353,-3.6
405,-0.7823408624229979,-9.411764705882353,1.5
406,-0.7768651608487338,-9.411764705882353,2.1
407,-0.7713894592744696,-9.411764705882353,1.1
408,-0.7659137577002053,-9.411764705882353,2.6
409,-0.7604380561259412,-9.411764705882353,5.4
410,-0.7549623545516769,-9.411764705882353,8.2
411,-0.7494866529774127,-9.411764705882353,5.7
412,-0.7440109514031485,-9.411764705882353,4.7
413,-0.7385352498288843,-9.411764705882353,5.2
414,-0.73305954825462,-9.411764705882353,4.5
415,-0.7275838466803559,-9.411764705882353,7.2
416,-0.7221081451060918,-9.411764705882353,7.6
417,-0.7166324435318275,-9.411764705882353,11.3
418,-0.7111567419575633,-9.411764705882353,12.5
419,-0.7056810403832992,-9.411764705882353,12.3
420,-0.7002053388090349,-9.411764705882353,11.9
421,-0.6947296372347707,-9.411764705882353,10.6
422,-0.6892539356605065,-9.411764705882353,7.7
423,-0.6837782340862423,-9.411764705882353,7.8
424,-0.678302532511978,-9.411764705882353,6.7
425,-0.6728268309377139,-9.411764705882353,6.9
426,-0.6673511293634498,-9.411764705882353,10.8
427,-0.6618754277891855,-9.411764705882353,10.7
428,-0.6563997262149213,-9.411764705882353,10.9
429,-0.6509240246406571,-9.411764705882353,12.7
430,-0.6454483230663929,-9.411764705882353,13.2
431,-0.6399726214921286,-9.411764705882353,12.8
432,-0.6344969199178645,-9.411764705882353,11.5
433,-0.6290212183436003,-9.411764705882353,11.0
434,-0.623545516769336,-9.411764705882353,12.3
435,-0.6180698151950719,-9.411764705882353,12.1
436,-0.6125941136208077,-9.411764705882353,16.0
437,-0.6071184120465435,-9.411764705882353,14.1
438,-0.6016427104722792,-9.411764705882353,10.6
439,-0.5961670088980151,-9.411764705882353,12.0
440,-0.5906913073237509,-9.411764705882353,10.9
441,-0.5852156057494866,-9.411764705882353,12.5
442,-0.5797399041752225,-9.411764705882353,13.6
443,-0.5742642026009582,-9.411764705882353,12.4
444,-0.568788501026694,-9.411764705882353,12.3
445,-0.5633127994524298,-9.411764705882353,9.2
446,-0.5578370978781657,-9.411764705882353,9.3
