#=Quote,EventSymbol,EventTime,BidTime,BidExchangeCode,BidPrice,BidSize,AskTime,AskExchangeCode,AskPrice,AskSize
Quote,AAPL,20190807-083502.107-0500,20190807-083501-0500,N,195.1,6,20190807-083502-0500,V,195.18,2
Quote,AAPL,20190807-083502.107-0500,20190807-083502-0500,V,195.12,1,20190807-083502-0500,V,195.18,2
Quote,AAPL,20190807-083502.107-0500,20190807-083502-0500,V,195.12,1,20190807-083502-0500,V,195.18,1
Quote,AAPL,20190807-083502.107-0500,20190807-083502-0500,V,195.12,1,20190807-083502-0500,V,195.19,1
Quote,AAPL,20190807-083502.107-0500,20190807-083502-0500,V,195.13,1,20190807-083502-0500,V,195.19,1
Quote,AAPL,20190807-083502.144-0500,20190807-083502-0500,B,195.16,1,20190807-083502-0500,V,195.19,1
Quote,AAPL,20190807-083502.144-0500,20190807-083502-0500,B,195.16,1,20190807-083502-0500,N,195.2,3
Quote,AAPL,20190807-083502.145-0500,20190807-083502-0500,B,195.16,1,20190807-083502-0500,N,195.21,3
Quote,AAPL,20190807-083502.244-0500,20190807-083502-0500,B,195.16,1,20190807-083502-0500,Q,195.21,2
Quote,AAPL,20190807-083502.363-0500,20190807-083502-0500,B,195.16,1,20190807-083502-0500,Q,195.21,8
Quote,AAPL,20190807-083502.652-0500,20190807-083502-0500,N,195.16,1,20190807-083502-0500,Q,195.21,8
Quote,AAPL,20190807-083502.653-0500,20190807-083502-0500,V,195.16,1,20190807-083502-0500,Q,195.21,8
Quote,AAPL,20190807-083502.653-0500,20190807-083502-0500,V,195.16,1,20190807-083502-0500,Q,195.21,9
Quote,AAPL,20190807-083502.653-0500,20190807-083502-0500,V,195.13,1,20190807-083502-0500,Q,195.21,9
Quote,AAPL,20190807-083502.653-0500,20190807-083502-0500,V,195.13,1,20190807-083502-0500,Q,195.21,10
Quote,AAPL,20190807-083502.654-0500,20190807-083502-0500,V,195.13,1,20190807-083502-0500,Q,195.2,1
Quote,AAPL,20190807-083502.654-0500,20190807-083502-0500,V,195.13,1,20190807-083502-0500,Q,195.2,2
Quote,AAPL,20190807-083502.654-0500,20190807-083502-0500,V,195.13,1,20190807-083502-0500,Q,195.2,3
Quote,AAPL,20190807-083502.654-0500,20190807-083502-0500,V,195.13,1,20190807-083502-0500,Q,195.2,4
Quote,AAPL,20190807-083502.654-0500,20190807-083502-0500,V,195.13,1,20190807-083502-0500,Q,195.18,1
Quote,AAPL,20190807-083502.654-0500,20190807-083502-0500,V,195.13,1,20190807-083502-0500,X,195.18,4
Quote,AAPL,20190807-083502.654-0500,20190807-083502-0500,V,195.12,1,20190807-083502-0500,X,195.18,4
Quote,AAPL,20190807-083502.656-0500,20190807-083502-0500,X,195.11,1,20190807-083502-0500,X,195.18,4
Quote,AAPL,20190807-083502.656-0500,20190807-083502-0500,X,195.11,1,20190807-083502-0500,P,195.18,6
Quote,AAPL,20190807-083502.656-0500,20190807-083502-0500,X,195.11,1,20190807-083502-0500,Q,195.17,1
Quote,AAPL,20190807-083502.656-0500,20190807-083502-0500,N,195.1,3,20190807-083502-0500,Q,195.17,1
Quote,AAPL,20190807-083502.656-0500,20190807-083502-0500,N,195.1,3,20190807-083502-0500,N,195.17,6
Quote,AAPL,20190807-083502.657-0500,20190807-083502-0500,N,195.1,3,20190807-083502-0500,Q,195.16,2
Quote,AAPL,20190807-083502.657-0500,20190807-083502-0500,N,195.1,3,20190807-083502-0500,Q,195.16,3
Quote,AAPL,20190807-083502.657-0500,20190807-083502-0500,N,195.1,3,20190807-083502-0500,Q,195.16,4
Quote,AAPL,20190807-083502.657-0500,20190807-083502-0500,N,195.1,3,20190807-083502-0500,P,195.16,6
Quote,AAPL,20190807-083502.657-0500,20190807-083502-0500,N,195.1,3,20190807-083502-0500,P,195.16,7
Quote,AAPL,20190807-083502.659-0500,20190807-083502-0500,N,195.1,3,20190807-083502-0500,J,195.16,1
Quote,AAPL,20190807-083502.660-0500,20190807-083502-0500,N,195.1,3,20190807-083502-0500,N,195.17,6
Quote,AAPL,20190807-083502.660-0500,20190807-083502-0500,N,195.1,3,20190807-083502-0500,V,195.17,1
Quote,AAPL,20190807-083502.660-0500,20190807-083502-0500,N,195.1,3,20190807-083502-0500,J,195.17,1
Quote,AAPL,20190807-083502.661-0500,20190807-083502-0500,N,195.1,3,20190807-083502-0500,P,195.18,6
Quote,AAPL,20190807-083502.706-0500,20190807-083502-0500,B,195.16,1,20190807-083502-0500,P,195.18,6
Quote,AAPL,20190807-083502.706-0500,20190807-083502-0500,N,195.1,3,20190807-083502-0500,P,195.18,6
Quote,AAPL,20190807-083502.706-0500,20190807-083502-0500,Q,195.13,1,20190807-083502-0500,P,195.18,6
Quote,AAPL,20190807-083502.706-0500,20190807-083502-0500,Q,195.13,2,20190807-083502-0500,P,195.18,6
Quote,AAPL,20190807-083502.706-0500,20190807-083502-0500,Q,195.13,3,20190807-083502-0500,P,195.18,6
